,SEQ,PERIOD,AUC,ACC,PRECISION_0,PRECISION_1,zeros,ones,ratio
199,50,4,0.4824354897884309,0.5257452574525745,0.37142857142857144,0.5871212121212122,210,528,0.3977272727272727
200,51,1,0.48104525560353084,0.4817320703653586,0.4423076923076923,0.52,364,375,0.9706666666666667
201,51,2,0.5106001600024151,0.516914749661705,0.4252199413489736,0.5954773869346733,341,398,0.8567839195979899
202,51,3,0.485227686150861,0.5040650406504065,0.3938356164383562,0.5762331838565022,292,446,0.6547085201793722
203,51,4,0.4829475969181852,0.521680216802168,0.3744493392070485,0.5870841487279843,227,511,0.44422700587084146
204,52,1,0.49048026054023786,0.4871447902571042,0.4527363184079602,0.5281899109792285,402,337,1.1928783382789319
205,52,2,0.5135425737326317,0.5121951219512195,0.4262734584450402,0.6,373,365,1.021917808219178
206,52,3,0.4816047174387581,0.4986449864498645,0.39,0.5730593607305936,300,438,0.684931506849315
207,52,4,0.4817705148587501,0.516260162601626,0.37448559670781895,0.5858585858585859,243,495,0.4909090909090909
208,53,1,0.4946940585279337,0.4878048780487805,0.45622119815668205,0.5328947368421053,434,304,1.4276315789473684
209,53,2,0.5180895771021845,0.513550135501355,0.43005181347150256,0.6051136363636364,386,352,1.0965909090909092
210,53,3,0.4932846228474412,0.5094850948509485,0.40397350993377484,0.5825688073394495,302,436,0.6926605504587156
211,53,4,0.4829475969181852,0.521680216802168,0.3744493392070485,0.5870841487279843,227,511,0.44422700587084146
212,54,1,0.5003621046408513,0.4932249322493225,0.4610091743119266,0.5397350993377483,436,302,1.4437086092715232
213,54,2,0.5052739181463674,0.5013550135501355,0.41818181818181815,0.5920679886685553,385,353,1.0906515580736544
214,54,3,0.49425479020130975,0.5013550135501355,0.40588235294117647,0.5829145728643216,340,398,0.8542713567839196
215,54,4,0.4740914383771527,0.5115332428765265,0.3620689655172414,0.5801980198019802,232,505,0.4594059405940594
216,55,1,0.48626958321016855,0.481029810298103,0.4486873508353222,0.5235109717868338,419,319,1.3134796238244515
217,55,2,0.4954794987316852,0.48644986449864497,0.40931372549019607,0.5818181818181818,408,330,1.2363636363636363
218,55,3,0.4854594627446214,0.4898236092265943,0.3977272727272727,0.574025974025974,352,385,0.9142857142857143
219,55,4,0.4717779003493289,0.5061058344640434,0.36065573770491804,0.5780933062880325,244,493,0.4949290060851927
220,56,1,0.4967780076854862,0.4905149051490515,0.45794392523364486,0.535483870967742,428,310,1.3806451612903226
221,56,2,0.5029409532483303,0.5020352781546812,0.4166666666666667,0.589041095890411,372,365,1.0191780821917809
222,56,3,0.4978842530691625,0.49118046132971505,0.4105793450881612,0.5852941176470589,397,340,1.1676470588235295
223,56,4,0.48471302935588656,0.5156037991858887,0.3803921568627451,0.5871369294605809,255,482,0.529045643153527
224,57,1,0.5084345829011705,0.5020352781546812,0.46853146853146854,0.5487012987012987,429,308,1.3928571428571428
225,57,2,0.5136422282938676,0.5061058344640434,0.42606516290726815,0.6005917159763313,399,338,1.180473372781065
226,57,3,0.49802479640209063,0.48846675712347354,0.41075794621026895,0.5853658536585366,409,328,1.2469512195121952
227,57,4,0.49167690417690413,0.5230978260869565,0.3904382470119522,0.5917525773195876,251,485,0.5175257731958763
228,58,1,0.5092791524670321,0.5020352781546812,0.4691075514874142,0.55,437,300,1.4566666666666668
229,58,2,0.5171144505160898,0.5101763907734057,0.4292929292929293,0.6041055718475073,396,341,1.1612903225806452
230,58,3,0.5178484405458089,0.5095108695652174,0.428927680798005,0.6059701492537314,401,335,1.1970149253731344
231,58,4,0.490509828009828,0.5203804347826086,0.38910505836575876,0.5908141962421712,257,479,0.5365344467640919
232,59,1,0.49206919543636096,0.4830393487109905,0.45494505494505494,0.5283687943262412,455,282,1.6134751773049645
233,59,2,0.5116655889848237,0.5027173913043478,0.4246913580246914,0.5981873111782477,405,331,1.2235649546827794
234,59,3,0.5173001949317738,0.5054347826086957,0.42788461538461536,0.60625,416,320,1.3
235,59,4,0.48258599508599503,0.5122282608695652,0.3783783783783784,0.5849056603773585,259,477,0.5429769392033543
236,60,1,0.4875074272133096,0.4796195652173913,0.451685393258427,0.5223367697594502,445,291,1.529209621993127
237,60,2,0.49870297820546955,0.48641304347826086,0.41330166270783847,0.5841269841269842,421,315,1.3365079365079364
238,60,3,0.49738060428849906,0.47690217391304346,0.41098901098901097,0.5836298932384342,455,281,1.6192170818505338
239,60,4,0.4776134334790371,0.5061224489795918,0.3726235741444867,0.5805084745762712,263,472,0.5572033898305084
240,61,1,0.501797385620915,0.49320652173913043,0.4634146341463415,0.5403508771929825,451,285,1.5824561403508772
241,61,2,0.4980982085124187,0.48233695652173914,0.41284403669724773,0.5833333333333334,436,300,1.4533333333333334
242,61,3,0.5069109476126512,0.48707482993197276,0.4190687361419069,0.5950704225352113,451,284,1.5880281690140845
243,61,4,0.47294219048205377,0.4965986394557823,0.36879432624113473,0.5761589403973509,282,453,0.6225165562913907
244,62,1,0.4986185383244206,0.48777173913043476,0.4608879492600423,0.5361216730038023,473,263,1.7984790874524714
245,62,2,0.4912695386961495,0.47891156462585033,0.4075829383886256,0.5750798722044729,422,313,1.3482428115015974
246,62,3,0.4853385639272194,0.46802721088435373,0.4018058690744921,0.5684931506849316,443,292,1.5171232876712328
247,62,4,0.4798143815797575,0.5061224489795918,0.3763837638376384,0.5818965517241379,271,464,0.584051724137931
248,63,1,0.48894266567386446,0.4775510204081633,0.45416666666666666,0.5215686274509804,480,255,1.8823529411764706
249,63,2,0.5025352649637819,0.48707482993197276,0.41705069124423966,0.5880398671096345,434,301,1.441860465116279
250,63,3,0.488715807790939,0.4748299319727891,0.40420560747663553,0.5732899022801303,428,307,1.3941368078175895
251,63,4,0.47353090562088285,0.49795918367346936,0.36917562724014336,0.5767543859649122,279,456,0.6118421052631579
252,64,1,0.4940990320178704,0.47891156462585033,0.4584139264990329,0.5275229357798165,517,218,2.371559633027523
253,64,2,0.509778879146016,0.49387755102040815,0.42298850574712643,0.5966666666666667,435,300,1.45
